client_id,birth_date,gender,district_id
1,13-02-1999,Male,18
2,04-02-1969,Female,1
3,09-12-1968,Male,1
4,01-12-1980,Male,5
5,03-09-1988,Male,5
6,22-09-1943,Female,12
7,25-01-1953,Male,15
8,21-04-1966,Male,51
9,16-10-1959,Female,60
10,01-05-1967,Male,57
11,22-10-1978,Female,57
12,20-02-2005,Female,40
13,29-07-2002,Male,54
14,22-08-1970,Female,76
15,28-10-1946,Female,21
16,25-02-1943,Male,21
17,13-10-1958,Male,76
18,05-06-1959,Male,76
19,28-12-1966,Female,47
20,04-01-2003,Female,46
21,29-12-1980,Male,12
22,11-12-1997,Male,1
23,29-05-1997,Male,1
24,29-09-1967,Male,43
25,23-06-1967,Male,21
26,20-06-1997,Female,74
27,26-05-1994,Female,54
28,29-09-1969,Male,1
29,11-11-1979,Male,30
30,09-12-1985,Male,74
31,09-02-1986,Male,68
32,28-07-2004,Female,52
33,04-02-1977,Female,73
36,17-09-2006,Male,7
37,10-08-1994,Female,7
38,23-09-2001,Male,36
39,25-01-1992,Male,68
40,22-03-1985,Female,5
41,27-08-1992,Male,22
42,17-08-1959,Male,68
43,28-10-1944,Female,75
44,11-03-2005,Male,38
45,26-08-1976,Female,20
46,30-03-1968,Female,19
47,14-07-1958,Female,76
48,09-02-1964,Male,16
49,11-07-1987,Male,72
50,30-09-2006,Female,39
51,02-02-2008,Female,36
52,12-12-1948,Female,32
53,05-05-2001,Male,64
55,18-11-1976,Female,45
56,31-03-1984,Male,21
57,17-02-1990,Male,21
58,29-06-1955,Male,1
59,18-02-1981,Female,1
60,19-02-2004,Male,67
61,06-10-1976,Female,16
62,08-12-1956,Female,77
63,04-06-1983,Female,4
64,22-04-1950,Female,20
65,27-07-1971,Male,50
66,10-01-1980,Female,1
67,11-01-1961,Male,29
68,14-12-1970,Female,43
70,22-12-1949,Female,70
71,06-04-1955,Female,70
72,13-01-1947,Male,47
73,20-02-1948,Female,22
74,26-09-1953,Female,22
75,19-11-2005,Male,64
76,01-12-1995,Male,36
77,18-04-1984,Female,1
78,13-08-1972,Male,16
79,10-05-1997,Female,37
80,25-04-2007,Male,64
81,29-04-2000,Male,8
82,25-02-2008,Male,8
83,25-02-2007,Male,1
84,05-05-2003,Male,1
85,27-08-1985,Male,1
86,20-09-1997,Female,1
87,17-01-1975,Male,72
89,05-07-1979,Male,1
90,17-08-1999,Male,52
