card_id,disp_id,type,issued
1005,9285,Diamond,2017-11-07
104,588,Diamond,2018-01-19
747,4915,Diamond,2018-02-05
70,439,Diamond,2018-02-08
577,3687,Diamond,2018-02-15
377,2429,Diamond,2018-03-03
721,4680,Sliver,2018-04-05
437,2762,Diamond,2018-06-01
188,1146,Diamond,2018-06-19
13,87,Diamond,2018-06-29
732,4763,Diamond,2018-07-21
181,1066,Diamond,2018-08-19
384,2475,Sliver,2018-09-15
309,1946,Diamond,2018-09-19
478,3084,Diamond,2018-10-09
563,3589,Diamond,2018-10-21
369,2363,Diamond,2018-11-08
376,2428,Diamond,2018-11-10
483,3115,Diamond,2018-11-24
174,1039,Sliver,2018-12-04
658,4251,Diamond,2018-12-25
763,5138,Sliver,2018-12-30
778,5275,Diamond,2019-01-02
1039,9837,Diamond,2019-01-07
477,3082,Sliver,2019-01-16
168,1018,Diamond,2019-01-24
314,1999,Sliver,2019-01-27
468,3023,Diamond,2019-01-30
208,1246,Diamond,2019-02-08
766,5200,Diamond,2019-02-11
464,2984,Diamond,2019-02-21
497,3184,Diamond,2019-03-03
166,999,Diamond,2019-03-05
15,114,Diamond,2019-03-05
503,3225,Diamond,2019-03-08
1038,9787,Sliver,2019-03-30
737,4791,Diamond,2019-04-13
418,2623,Diamond,2019-04-14
759,5117,Sliver,2019-04-18
223,1353,Diamond,2019-04-18
5,51,Sliver,2019-04-24
159,946,Diamond,2019-05-01
1223,13231,Sliver,2019-05-02
662,4293,Diamond,2019-05-09
779,5323,Sliver,2019-05-21
1040,9890,Sliver,2019-05-28
545,3458,Diamond,2019-05-30
467,3019,Diamond,2019-06-05
1247,13660,Diamond,2019-06-13
652,4211,Diamond,2019-06-16
559,3573,Diamond,2019-06-17
719,4663,Diamond,2019-06-24
397,2513,Diamond,2019-06-24
107,593,Diamond,2019-06-27
661,4270,Diamond,2019-07-03
484,3116,Diamond,2019-07-04
501,3197,Diamond,2019-07-09
422,2650,Sliver,2019-07-11
705,4555,Diamond,2019-07-12
410,2569,Diamond,2019-07-20
136,778,Diamond,2019-07-28
592,3782,Sliver,2019-08-07
262,1647,Sliver,2019-08-24
18,128,Diamond,2019-08-25
3,41,Diamond,2019-09-03
98,537,Diamond,2019-09-06
167,1011,Diamond,2019-09-15
97,531,Sliver,2019-09-19
699,4532,Diamond,2019-09-26
342,2157,Diamond,2019-09-27
713,4627,Diamond,2019-09-30
118,652,Diamond,2019-10-22
783,5433,Sliver,2019-10-24
1103,11189,Diamond,2019-11-04
504,3230,Sliver,2019-11-06
261,1629,Diamond,2019-11-09
296,1876,Diamond,2019-11-13
113,629,Sliver,2019-11-16
92,508,Diamond,2019-11-20
1225,13268,Diamond,2019-11-22
393,2498,Sliver,2019-12-03
695,4507,Diamond,2019-12-15
666,4328,Sliver,2019-12-25
462,2978,Diamond,2019-12-30
85,489,Diamond,2019-12-31
337,2141,Diamond,2020-01-01
771,5233,Diamond,2020-01-08
379,2431,Diamond,2020-01-12
106,592,Diamond,2020-01-14
606,3883,Diamond,2020-01-22
427,2688,Diamond,2020-01-25
202,1228,Diamond,2020-02-04
814,5911,Diamond,2020-02-15
1064,10328,Diamond,2020-02-17
14,112,Diamond,2020-02-17
423,2657,Diamond,2020-02-19
989,9119,Diamond,2020-02-21
364,2329,Diamond,2020-02-29
267,1691,Sliver,2020-03-09
621,3970,Sliver,2020-03-19
1139,11836,Sliver,2020-03-26
725,4715,Sliver,2020-03-30
150,859,Diamond,2020-03-30
302,1900,Diamond,2020-03-31
372,2395,Diamond,2020-03-31
499,3187,Diamond,2020-04-03
229,1384,Diamond,2020-04-05
289,1831,Sliver,2020-04-08
1100,11101,Sliver,2020-04-10
37,238,Diamond,2020-04-20
286,1812,Diamond,2020-04-21
157,907,Diamond,2020-04-24
216,1310,Sliver,2020-04-24
977,8968,Diamond,2020-05-08
183,1080,Diamond,2020-05-08
945,8342,Sliver,2020-05-09
44,268,Sliver,2020-05-17
600,3829,Diamond,2020-05-20
127,714,Diamond,2020-05-23
764,5159,Diamond,2020-05-29
204,1239,Sliver,2020-05-30
1134,11742,Diamond,2020-05-31
312,1971,Diamond,2020-06-08
313,1980,Diamond,2020-06-17
641,4116,Diamond,2020-06-18
731,4751,Diamond,2020-06-23
84,487,Diamond,2020-06-26
265,1680,Diamond,2020-06-28
1176,12502,Diamond,2020-07-03
1233,13382,Diamond,2020-07-06
407,2555,Diamond,2020-07-11
320,2045,Diamond,2020-07-11
1187,12635,Diamond,2020-07-17
121,666,Sliver,2020-07-22
1055,10171,Diamond,2020-07-24
303,1912,Diamond,2020-08-01
651,4201,Sliver,2020-08-02
736,4789,Diamond,2020-08-03
24,153,Sliver,2020-08-05
587,3763,Sliver,2020-08-05
119,655,Diamond,2020-08-08
670,4343,Diamond,2020-08-08
227,1380,Diamond,2020-08-10
1164,12269,Diamond,2020-08-12
1043,9974,Sliver,2020-08-14
278,1779,Diamond,2020-08-15
103,584,Sliver,2020-08-17
673,4353,Sliver,2020-08-31
38,242,Diamond,2020-08-31
470,3036,Diamond,2020-09-02
890,7422,Diamond,2020-09-08
514,3267,Diamond,2020-09-10
741,4832,Diamond,2020-09-11
882,7195,Diamond,2020-09-11
12,83,Sliver,2020-09-11
152,876,Diamond,2020-09-16
163,984,Diamond,2020-09-18
708,4568,Sliver,2020-09-24
1087,10887,Diamond,2020-10-06
854,6753,Diamond,2020-10-07
601,3830,Diamond,2020-10-08
99,548,Diamond,2020-10-09
547,3477,Diamond,2020-10-11
40,255,Diamond,2020-10-13
220,1333,Diamond,2020-10-13
390,2490,Diamond,2020-10-14
776,5263,Diamond,2020-10-19
197,1202,Sliver,2020-10-21
516,3279,Diamond,2020-10-25
381,2440,Diamond,2020-10-27
1010,9413,Diamond,2020-10-27
813,5873,Sliver,2020-10-28
272,1754,Sliver,2020-10-28
772,5243,Diamond,2020-10-30
528,3356,Diamond,2020-10-31
1014,9452,Diamond,2020-11-02
87,493,Diamond,2020-11-02
88,496,Diamond,2020-11-04
441,2785,Diamond,2020-11-05
562,3583,Diamond,2020-11-07
690,4479,Diamond,2020-11-07
374,2423,Diamond,2020-11-08
57,347,Diamond,2020-11-09
722,4684,Diamond,2020-11-14
300,1890,Diamond,2020-11-20
117,649,Sliver,2020-11-23
541,3427,Sliver,2020-11-26
294,1861,Diamond,2020-12-04
10,77,Diamond,2020-12-07
710,4588,Sliver,2020-12-10
408,2560,Diamond,2020-12-10
363,2324,Sliver,2020-12-11
697,4518,Diamond,2020-12-11
433,2724,Diamond,2020-12-12
642,4137,Diamond,2020-12-13
243,1478,Diamond,2020-12-13
162,967,Sliver,2020-12-23
594,3794,Sliver,2020-12-27
609,3893,Diamond,2020-12-29
1111,11288,Diamond,2020-12-31
786,5478,Diamond,2020-12-31
1118,11393,Diamond,2021-01-02
175,1040,Diamond,2021-01-03
565,3601,Diamond,2021-01-06
714,4638,Diamond,2021-01-09
137,786,Sliver,2021-01-10
22,138,Diamond,2021-01-11
325,2102,Diamond,2021-01-12
194,1182,Diamond,2021-01-13
668,4340,Diamond,2021-01-14
706,4559,Diamond,2021-01-16
850,6644,Diamond,2021-01-16
298,1885,Diamond,2021-01-17
105,590,Diamond,2021-01-17
1036,9735,Diamond,2021-01-17
292,1842,Diamond,2021-01-18
112,626,Sliver,2021-01-19
678,4405,Diamond,2021-01-20
1093,11011,Diamond,2021-01-20
681,4426,Diamond,2021-01-22
